Symbol,Change_2d,Change_5d,Change_10d,Change_30d,Change_60d,Change_180d,MTD Change,YTD Change
A,0.007188323,,0.05692803,0.18722634,0.135834112,0.130619169,-0.053861785,-0.099076953
AA,-0.030663316,,0.037042311,0.151506746,0.120005653,0.011824846,-0.03571919,-0.151341005
AAL,0.090750433,,0.25218153,0.450261849,0.603839363,-0.067190267,-0.201393747,-0.342512918
AAON,-0.03155721,,-0.067847996,0.374802737,0.481611853,0.141699869,0.072786408,-0.29988104
AAP,0.001642973,,0.010405287,0.238773305,0.265060246,0.12067615,-0.010298132,-0.223479891
AAPL,0.030067015,,0.095091471,0.030836794,0.07131805,0.005304233,-0.086834272,-0.117151974
AB,-0.002441013,,0.02142666,-0.051772489,-0.066267305,-0.108448629,-0.020977188,0.023037924
ABBV,0.014373367,,-0.021349303,-0.108853413,-0.187538944,-0.10636517,0.021815039,0.213304346
ABCB,0.010126127,,0.147273064,0.197370766,0.055782543,0.078110144,-0.128367926,-0.100367569
ABEV,0.018264822,,-0.054794576,-0.150684947,-0.187214646,0.054794467,0.057971076,0.183783799
ABG,0.003887234,,0.086815624,0.190678571,-0.037091041,-0.102283807,-0.079880729,0.016170876
ABM,0.028496852,,0.090307041,0.074051746,0.011840183,0.025861472,-0.082827165,-0.021310008
ABNB,0.05349164,,0.107063077,0.078125023,0.033402442,-0.061304227,-0.096709103,-0.045430341
ABR,0.022406597,,-0.011763434,0.097150762,0.039490268,0.125038018,0.01190346,-0.098419598
ABT,0.035428892,,0.04032859,-0.010176437,-0.157819192,-0.131243813,-0.038765242,0.178995346
ACA,-0.036196282,,0.02920242,0.255582845,0.131803641,0.119565905,-0.028373836,-0.157097238
ACAD,0,,0.140197776,0.09831289,0.004072117,-0.050610867,-0.122959173,-0.063215249
ACGL,0.006993061,,0.031302114,0.015207046,0.000888021,0.182369382,-0.030352031,-0.02447214
ACHC,0.025755494,,0.029532922,0.471497158,0.54258231,1.686469818,-0.028685748,-0.265573778
ACI,-0.014445456,,-0.019571211,-0.011649581,-0.077413205,-0.124316652,0.019961889,0.101017533
ACIW,-0.001545332,,0.107784392,0.023179462,-0.008305975,-0.06258454,-0.097297265,-0.002696964
ACLS,0.041145882,,-0.048784681,0.173263952,0.20555563,0.792881934,0.051286686,-0.175611905
ACLX,0.055002956,,-0.051784682,-0.019894684,0.010532493,0.124780554,0.054612788,-0.108619136
ACM,0.01727066,,0.060076351,0.144204291,0.121741956,0.031708469,-0.05667172,-0.114301807
ACMR,-0.035529274,,-0.039970389,-0.13545521,-0.421909711,-0.378238381,0.041634537,0.789403959
